MF, 12345678
MF, 12345689
MF, 12378945
MF, 12378956
MF, 12345679
MF, 12345697
MF, 12345687
MF, 12378946
MF, 12378964
MF, 12378954
MF, 12378965
MF, 12345698
MF, 12378974
MF, 12378971
MF, 12378914
MF, 12345647
MF, 12345674
MF, 12345671
MF, 12345617
MF, 12345696
MF, 12345693
MF, 12345669
MF, 12345663
MF, 12345639
MF, 12345685
MF, 12345682
MF, 12345695
MF, 12345694
MF, 12378943
MF, 12345688
MI, 12345600
MI, 12378900
MI, 12300000
MI, 45600000
MI, 78900000
MI, 14700000
MI, 25800000
MI, 36900000
MI, 15900000
MI, 35700000
MI, 74100000
MI, 85200000
MI, 96300000
MI, 14800000
MI, 14900000
MI, 25900000
MI, 25700000
MI, 36700000
MI, 36800000
MI, 75200000
MI, 95200000
MI, 34900000
MI, 94300000
MI, 15600000
MI, 14500000
MI, 13600000
MI, 13500000
MI, 13800000
MI, 13700000
MI, 13900000
MI, 14000000
MI, 14100000
MI, 14200000
MI, 14300000
MI, 14400000
GI, 10000000
GI, 20000000
GI, 30000000
GI, 40000000
GI, 50000000
GI, 60000000
GI, 70000000
GI, 80000000
GI, 90000000
GI, 11000000
GI, 12000000
GI, 13000000
GI, 15000000
GI, 16000000
GI, 17000000
GI, 18000000
GI, 19000000
GI, 21000000
GI, 22000000
GI, 23000000
GI, 24000000
GI, 25000000
GI, 26000000
GI, 27000000
GI, 28000000
